epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,547.683,0.536,0.34629,0.92028,0.9813,0.98996,0.99404,0.85394,0.62199,0.30837,0.98789,0.0011882,0.0011882,0.0011882
43,560.433,0.51229,0.33397,0.91455,0.98997,0.99057,0.99491,0.8722,0.55483,0.30389,0.94718,0.0011684,0.0011684,0.0011684
44,572.585,0.51315,0.33689,0.91613,0.98086,0.99528,0.99404,0.86848,0.57838,0.30512,0.97063,0.0011486,0.0011486,0.0011486
45,584.557,0.52104,0.33775,0.91782,1,0.995,0.995,0.86671,0.58578,0.28872,0.96379,0.0011288,0.0011288,0.0011288
46,596.744,0.5187,0.33193,0.90792,0.99017,0.99528,0.99486,0.86978,0.56043,0.28309,0.95088,0.001109,0.001109,0.001109
47,608.894,0.52138,0.32904,0.91673,0.99056,0.99022,0.99294,0.8648,0.54016,0.28607,0.94185,0.0010892,0.0010892,0.0010892
48,621.442,0.52828,0.33814,0.9225,0.98846,0.98585,0.99387,0.87355,0.54868,0.294,0.94709,0.0010694,0.0010694,0.0010694
49,634.038,0.50437,0.32281,0.90485,0.98659,0.98585,0.9918,0.88109,0.5271,0.27505,0.9363,0.0010496,0.0010496,0.0010496
50,646.253,0.49845,0.31488,0.90444,0.99528,0.995,0.99439,0.8722,0.55859,0.29634,0.95822,0.0010298,0.0010298,0.0010298
51,658.778,0.50922,0.32651,0.91514,0.99455,0.99057,0.99476,0.87084,0.58216,0.29486,0.96971,0.00101,0.00101,0.00101
52,671.072,0.50832,0.32529,0.91901,0.98917,0.99528,0.99486,0.86644,0.54627,0.29313,0.94317,0.0009902,0.0009902,0.0009902
53,683.145,0.50409,0.31442,0.90716,0.98205,0.98585,0.99354,0.86145,0.56825,0.3149,0.94784,0.0009704,0.0009704,0.0009704
54,695.239,0.50314,0.3226,0.91282,0.99501,0.99528,0.99382,0.86724,0.54053,0.2898,0.94383,0.0009506,0.0009506,0.0009506
55,707.6,0.48439,0.30901,0.90304,0.98999,0.99528,0.99376,0.87489,0.55657,0.29011,0.94817,0.0009308,0.0009308,0.0009308
56,719.599,0.49334,0.30549,0.90505,0.98929,0.98585,0.99462,0.87005,0.5468,0.27641,0.94459,0.000911,0.000911,0.000911
57,731.691,0.49005,0.30266,0.90911,0.99521,0.98077,0.99362,0.88129,0.53879,0.29004,0.93115,0.0008912,0.0008912,0.0008912
58,743.88,0.47434,0.3031,0.89384,0.99477,0.98585,0.99386,0.87885,0.52801,0.27703,0.93536,0.0008714,0.0008714,0.0008714
59,756.307,0.47321,0.29925,0.89538,0.99406,0.99057,0.99405,0.88128,0.52689,0.27033,0.94037,0.0008516,0.0008516,0.0008516
60,768.611,0.4667,0.29168,0.90215,0.99382,0.99057,0.99344,0.87831,0.53565,0.27953,0.94359,0.0008318,0.0008318,0.0008318
61,780.767,0.46051,0.29713,0.89589,0.99003,0.99057,0.99457,0.87,0.53142,0.27044,0.93502,0.000812,0.000812,0.000812
